,rdata,count,org,as,org_name
6669,138.68.99.80,1,"AS14061 DigitalOcean, LLC",AS14061,"DigitalOcean, LLC"
6670,139.144.148.26,1,AS63949 Akamai Connected Cloud,AS63949,Akamai Connected Cloud
6671,139.144.239.131,1,AS63949 Akamai Connected Cloud,AS63949,Akamai Connected Cloud
6672,139.155.41.12,1,AS45090 Shenzhen Tencent Computer Systems Company Limited,AS45090,Shenzhen Tencent Computer Systems Company Limited
6673,139.162.11.19,1,AS63949 Akamai Connected Cloud,AS63949,Akamai Connected Cloud
6674,139.162.112.16,1,AS63949 Akamai Connected Cloud,AS63949,Akamai Connected Cloud
6675,139.162.120.150,4,AS63949 Akamai Connected Cloud,AS63949,Akamai Connected Cloud
6676,139.162.127.128,1,AS63949 Akamai Connected Cloud,AS63949,Akamai Connected Cloud
6677,139.162.142.103,1,AS63949 Akamai Connected Cloud,AS63949,Akamai Connected Cloud
6678,139.162.161.145,1,AS63949 Akamai Connected Cloud,AS63949,Akamai Connected Cloud
6679,139.162.19.114,1,AS63949 Akamai Connected Cloud,AS63949,Akamai Connected Cloud
6680,139.162.190.133,1,AS63949 Akamai Connected Cloud,AS63949,Akamai Connected Cloud
6681,139.162.204.99,1,AS63949 Akamai Connected Cloud,AS63949,Akamai Connected Cloud
6682,139.162.21.30,1,AS63949 Akamai Connected Cloud,AS63949,Akamai Connected Cloud
6683,139.162.216.171,1,AS63949 Akamai Connected Cloud,AS63949,Akamai Connected Cloud
6684,139.162.245.244,1,AS63949 Akamai Connected Cloud,AS63949,Akamai Connected Cloud
6685,139.162.255.45,1,AS63949 Akamai Connected Cloud,AS63949,Akamai Connected Cloud
6686,139.162.255.84,1,AS63949 Akamai Connected Cloud,AS63949,Akamai Connected Cloud
6687,139.162.28.140,1,AS63949 Akamai Connected Cloud,AS63949,Akamai Connected Cloud
6688,139.162.28.237,1,AS63949 Akamai Connected Cloud,AS63949,Akamai Connected Cloud
6689,139.162.30.170,1,AS63949 Akamai Connected Cloud,AS63949,Akamai Connected Cloud
6690,139.162.38.10,1,AS63949 Akamai Connected Cloud,AS63949,Akamai Connected Cloud
6691,139.162.56.222,2,AS63949 Akamai Connected Cloud,AS63949,Akamai Connected Cloud
6692,139.162.60.200,1,AS63949 Akamai Connected Cloud,AS63949,Akamai Connected Cloud
6693,139.177.198.191,1,AS63949 Akamai Connected Cloud,AS63949,Akamai Connected Cloud
6694,139.180.130.43,1,"AS20473 The Constant Company, LLC",AS20473,"The Constant Company, LLC"
6695,139.180.184.151,1,"AS20473 The Constant Company, LLC",AS20473,"The Constant Company, LLC"
6696,139.180.187.230,1,"AS20473 The Constant Company, LLC",AS20473,"The Constant Company, LLC"
6697,139.180.211.230,1,"AS20473 The Constant Company, LLC",AS20473,"The Constant Company, LLC"
6698,139.185.33.85,1,AS31898 Oracle Corporation,AS31898,Oracle Corporation
6699,139.59.124.175,1,"AS14061 DigitalOcean, LLC",AS14061,"DigitalOcean, LLC"
6700,139.59.194.229,1,"AS14061 DigitalOcean, LLC",AS14061,"DigitalOcean, LLC"
6701,139.59.238.214,1,"AS14061 DigitalOcean, LLC",AS14061,"DigitalOcean, LLC"
6702,139.59.99.137,1,"AS14061 DigitalOcean, LLC",AS14061,"DigitalOcean, LLC"
6703,139.99.188.190,1,AS16276 OVH SAS,AS16276,OVH SAS
6704,139.99.198.215,1,AS16276 OVH SAS,AS16276,OVH SAS
6705,139.99.212.152,1,AS16276 OVH SAS,AS16276,OVH SAS
6706,139.99.246.160,1,AS16276 OVH SAS,AS16276,OVH SAS
6707,139.99.28.117,1,AS16276 OVH SAS,AS16276,OVH SAS
6708,139.99.34.41,1,AS16276 OVH SAS,AS16276,OVH SAS
6709,139.99.8.24,4,AS16276 OVH SAS,AS16276,OVH SAS
6710,139.99.8.25,1,AS16276 OVH SAS,AS16276,OVH SAS
6711,139.99.89.153,8,AS16276 OVH SAS,AS16276,OVH SAS
6712,14.192.22.83,1,AS26658 HT,AS26658,HT
6713,14.192.67.222,1,AS55720 Gigabit Hosting Sdn Bhd,AS55720,Gigabit Hosting Sdn Bhd
6714,14.225.210.205,1,AS135905 VIETNAM POSTS AND TELECOMMUNICATIONS GROUP,AS135905,VIETNAM POSTS AND TELECOMMUNICATIONS GROUP
6715,14.231.244.26,1,AS45899 VNPT Corp,AS45899,VNPT Corp
6716,140.117.201.245,1,AS17713 National Sun Yat-sen University,AS17713,National Sun Yat-sen University
6717,140.207.177.207,1,AS140979 China Unicom Shanghai FuTe IDC network,AS140979,China Unicom Shanghai FuTe IDC network
6718,140.238.11.61,1,AS31898 Oracle Corporation,AS31898,Oracle Corporation
6719,140.82.10.114,1,"AS20473 The Constant Company, LLC",AS20473,"The Constant Company, LLC"
6720,140.82.16.120,1,"AS20473 The Constant Company, LLC",AS20473,"The Constant Company, LLC"
6721,140.82.17.181,1,"AS20473 The Constant Company, LLC",AS20473,"The Constant Company, LLC"
6722,140.82.24.230,2,"AS20473 The Constant Company, LLC",AS20473,"The Constant Company, LLC"
6723,140.83.34.244,3,AS31898 Oracle Corporation,AS31898,Oracle Corporation
6724,140.83.39.180,1,AS31898 Oracle Corporation,AS31898,Oracle Corporation
6725,140.99.164.181,1,AS396356 Latitude.sh,AS396356,Latitude.sh
6726,140.99.245.61,1,AS20068 Hawk Host Inc.,AS20068,Hawk Host Inc.
6727,140.99.245.62,1,AS20068 Hawk Host Inc.,AS20068,Hawk Host Inc.
6728,141.0.173.168,1,"AS46652 ServerStack, Inc.",AS46652,"ServerStack, Inc."
6729,141.125.104.208,4,AS36351 SoftLayer Technologies Inc.,AS36351,SoftLayer Technologies Inc.
6730,141.125.157.19,4,AS36351 SoftLayer Technologies Inc.,AS36351,SoftLayer Technologies Inc.
6731,141.125.80.83,1,AS36351 SoftLayer Technologies Inc.,AS36351,SoftLayer Technologies Inc.
6732,141.164.48.129,1,"AS20473 The Constant Company, LLC",AS20473,"The Constant Company, LLC"
6733,141.164.53.89,24,"AS20473 The Constant Company, LLC",AS20473,"The Constant Company, LLC"
6734,141.164.54.106,1,"AS20473 The Constant Company, LLC",AS20473,"The Constant Company, LLC"
6735,141.164.54.69,1,"AS20473 The Constant Company, LLC",AS20473,"The Constant Company, LLC"
6736,141.193.158.98,1,AS45753 Netsec Limited,AS45753,Netsec Limited
6737,141.193.213.10,22,"AS209242 Cloudflare London, LLC",AS209242,"Cloudflare London, LLC"
6738,141.193.213.11,27,"AS209242 Cloudflare London, LLC",AS209242,"Cloudflare London, LLC"
6739,141.193.213.20,3,"AS209242 Cloudflare London, LLC",AS209242,"Cloudflare London, LLC"
6740,141.193.213.21,1,"AS209242 Cloudflare London, LLC",AS209242,"Cloudflare London, LLC"
6741,141.193.213.30,1,"AS209242 Cloudflare London, LLC",AS209242,"Cloudflare London, LLC"
6742,141.8.192.151,1,AS35278 SPRINTHOST.RU LLC,AS35278,SPRINTHOST.RU LLC
6743,141.8.192.184,1,AS35278 SPRINTHOST.RU LLC,AS35278,SPRINTHOST.RU LLC
6744,141.8.192.217,1,AS35278 SPRINTHOST.RU LLC,AS35278,SPRINTHOST.RU LLC
6745,141.8.192.26,1,AS35278 SPRINTHOST.RU LLC,AS35278,SPRINTHOST.RU LLC
6746,141.8.192.54,1,AS35278 SPRINTHOST.RU LLC,AS35278,SPRINTHOST.RU LLC
6747,141.8.192.82,3,AS35278 SPRINTHOST.RU LLC,AS35278,SPRINTHOST.RU LLC
6748,141.8.192.93,1,AS35278 SPRINTHOST.RU LLC,AS35278,SPRINTHOST.RU LLC
6749,141.8.194.230,4,AS35278 SPRINTHOST.RU LLC,AS35278,SPRINTHOST.RU LLC
6750,141.8.194.53,1,AS35278 SPRINTHOST.RU LLC,AS35278,SPRINTHOST.RU LLC
6751,141.8.195.60,1,AS35278 SPRINTHOST.RU LLC,AS35278,SPRINTHOST.RU LLC
6752,141.8.197.252,2,AS35278 SPRINTHOST.RU LLC,AS35278,SPRINTHOST.RU LLC
6753,141.8.224.143,1,AS25824 WQRM Holdings Inc,AS25824,WQRM Holdings Inc
6754,141.94.194.162,1,AS16276 OVH SAS,AS16276,OVH SAS
6755,141.94.199.206,1,AS16276 OVH SAS,AS16276,OVH SAS
6756,141.94.89.5,1,AS16276 OVH SAS,AS16276,OVH SAS
6757,141.95.139.246,1,AS16276 OVH SAS,AS16276,OVH SAS
6758,141.95.149.176,1,AS16276 OVH SAS,AS16276,OVH SAS
6759,141.95.152.193,1,AS16276 OVH SAS,AS16276,OVH SAS
6760,141.95.33.235,1,AS16276 OVH SAS,AS16276,OVH SAS
6761,141.95.4.185,1,AS16276 OVH SAS,AS16276,OVH SAS
6762,141.95.86.176,1,AS16276 OVH SAS,AS16276,OVH SAS
6763,141.98.101.150,1,AS9009 M247 Europe SRL,AS9009,M247 Europe SRL
6764,141.98.101.230,1,AS9009 M247 Europe SRL,AS9009,M247 Europe SRL
6765,141.98.169.107,1,AS44477 STARK INDUSTRIES SOLUTIONS LTD,AS44477,STARK INDUSTRIES SOLUTIONS LTD
6766,142.11.206.14,1,AS54290 Hostwinds LLC.,AS54290,Hostwinds LLC.
6767,142.11.206.34,2,AS54290 Hostwinds LLC.,AS54290,Hostwinds LLC.
6768,142.11.222.108,1,AS54290 Hostwinds LLC.,AS54290,Hostwinds LLC.
6769,142.132.131.203,7,AS24940 Hetzner Online GmbH,AS24940,Hetzner Online GmbH
6770,142.132.131.208,1,AS24940 Hetzner Online GmbH,AS24940,Hetzner Online GmbH
6771,142.132.181.81,1,AS24940 Hetzner Online GmbH,AS24940,Hetzner Online GmbH
6772,142.132.182.107,1,AS24940 Hetzner Online GmbH,AS24940,Hetzner Online GmbH
6773,142.132.196.248,1,AS24940 Hetzner Online GmbH,AS24940,Hetzner Online GmbH
6774,142.171.153.18,1,AS35916 MULTACOM CORPORATION,AS35916,MULTACOM CORPORATION
6775,142.171.255.110,1,AS35916 MULTACOM CORPORATION,AS35916,MULTACOM CORPORATION
6776,142.171.29.173,6,AS35916 MULTACOM CORPORATION,AS35916,MULTACOM CORPORATION
6777,142.171.3.234,1,AS35916 MULTACOM CORPORATION,AS35916,MULTACOM CORPORATION
6778,142.171.76.98,1,AS35916 MULTACOM CORPORATION,AS35916,MULTACOM CORPORATION
6779,142.171.92.131,1,AS35916 MULTACOM CORPORATION,AS35916,MULTACOM CORPORATION
6780,142.234.195.213,1,"AS7203 Leaseweb USA, Inc.",AS7203,"Leaseweb USA, Inc."
6781,142.250.204.110,1,AS15169 Google LLC,AS15169,Google LLC
6782,142.252.135.147,1,AS18779 EGIHosting,AS18779,EGIHosting
6783,142.4.201.175,1,AS16276 OVH SAS,AS16276,OVH SAS
6784,142.4.204.181,14,AS16276 OVH SAS,AS16276,OVH SAS
6785,142.44.223.46,1,AS16276 OVH SAS,AS16276,OVH SAS
6786,142.93.133.87,1,"AS14061 DigitalOcean, LLC",AS14061,"DigitalOcean, LLC"
6787,142.93.146.37,1,"AS14061 DigitalOcean, LLC",AS14061,"DigitalOcean, LLC"
6788,142.93.152.96,1,"AS14061 DigitalOcean, LLC",AS14061,"DigitalOcean, LLC"
6789,142.93.243.92,1,"AS14061 DigitalOcean, LLC",AS14061,"DigitalOcean, LLC"
6790,142.93.48.63,1,"AS14061 DigitalOcean, LLC",AS14061,"DigitalOcean, LLC"
6791,142.93.50.185,1,"AS14061 DigitalOcean, LLC",AS14061,"DigitalOcean, LLC"
6792,142.93.64.203,7,"AS14061 DigitalOcean, LLC",AS14061,"DigitalOcean, LLC"
6793,143.110.215.206,1,"AS14061 DigitalOcean, LLC",AS14061,"DigitalOcean, LLC"
6794,143.198.109.218,2,"AS14061 DigitalOcean, LLC",AS14061,"DigitalOcean, LLC"
6795,143.198.114.198,1,"AS14061 DigitalOcean, LLC",AS14061,"DigitalOcean, LLC"
6796,143.198.137.137,1,"AS14061 DigitalOcean, LLC",AS14061,"DigitalOcean, LLC"
6797,143.198.220.244,1,"AS14061 DigitalOcean, LLC",AS14061,"DigitalOcean, LLC"
6798,143.198.40.141,1,"AS14061 DigitalOcean, LLC",AS14061,"DigitalOcean, LLC"
6799,143.198.41.88,1,"AS14061 DigitalOcean, LLC",AS14061,"DigitalOcean, LLC"
6800,143.198.60.86,1,"AS14061 DigitalOcean, LLC",AS14061,"DigitalOcean, LLC"
6801,143.244.202.96,1,"AS14061 DigitalOcean, LLC",AS14061,"DigitalOcean, LLC"
6802,143.244.222.191,1,"AS14061 DigitalOcean, LLC",AS14061,"DigitalOcean, LLC"
6803,143.42.65.118,1,AS63949 Akamai Connected Cloud,AS63949,Akamai Connected Cloud
6804,143.42.9.61,1,AS63949 Akamai Connected Cloud,AS63949,Akamai Connected Cloud
6805,143.92.32.141,1,AS152194 CTG Server Limited,AS152194,CTG Server Limited
6806,143.92.32.173,1,AS152194 CTG Server Limited,AS152194,CTG Server Limited
6807,143.92.32.195,1,AS152194 CTG Server Limited,AS152194,CTG Server Limited
6808,143.92.32.231,1,AS152194 CTG Server Limited,AS152194,CTG Server Limited
6809,143.92.34.114,2,AS152194 CTG Server Limited,AS152194,CTG Server Limited
6810,143.92.58.239,2,AS152194 CTG Server Limited,AS152194,CTG Server Limited
6811,143.92.58.245,2,AS152194 CTG Server Limited,AS152194,CTG Server Limited
6812,143.95.37.232,1,AS46606 Unified Layer,AS46606,Unified Layer
6813,143.95.73.224,1,AS46606 Unified Layer,AS46606,Unified Layer
6814,144.126.143.39,1,"AS40021 Nubes, LLC",AS40021,"Nubes, LLC"
6815,144.168.102.221,1,AS22552 eSited Solutions,AS22552,eSited Solutions
6816,144.168.88.154,1,AS22552 eSited Solutions,AS22552,eSited Solutions
6817,144.202.105.188,1,"AS20473 The Constant Company, LLC",AS20473,"The Constant Company, LLC"
6818,144.202.60.123,2,"AS20473 The Constant Company, LLC",AS20473,"The Constant Company, LLC"
6819,144.202.94.91,1,"AS20473 The Constant Company, LLC",AS20473,"The Constant Company, LLC"
6820,144.208.70.161,1,"AS22611 InMotion Hosting, Inc.",AS22611,"InMotion Hosting, Inc."
6821,144.217.153.176,1,AS16276 OVH SAS,AS16276,OVH SAS
6822,144.217.169.23,1,AS16276 OVH SAS,AS16276,OVH SAS
6823,144.217.189.245,1,AS16276 OVH SAS,AS16276,OVH SAS
6824,144.217.252.90,1,AS16276 OVH SAS,AS16276,OVH SAS
6825,144.76.165.157,1,AS24940 Hetzner Online GmbH,AS24940,Hetzner Online GmbH
6826,144.76.194.112,2,AS24940 Hetzner Online GmbH,AS24940,Hetzner Online GmbH
6827,144.76.211.133,6,AS24940 Hetzner Online GmbH,AS24940,Hetzner Online GmbH
6828,144.76.222.213,1,AS24940 Hetzner Online GmbH,AS24940,Hetzner Online GmbH
6829,144.91.111.68,1,AS51167 Contabo GmbH,AS51167,Contabo GmbH
6830,144.91.122.157,1,AS51167 Contabo GmbH,AS51167,Contabo GmbH
6831,144.91.73.223,1,AS51167 Contabo GmbH,AS51167,Contabo GmbH
6832,144.91.83.1,1,AS51167 Contabo GmbH,AS51167,Contabo GmbH
6833,144.91.89.241,1,AS51167 Contabo GmbH,AS51167,Contabo GmbH
6834,144.91.93.13,1,AS51167 Contabo GmbH,AS51167,Contabo GmbH
6835,145.131.41.52,1,AS8315 Accenture B. V.,AS8315,Accenture B. V.
6836,145.14.145.41,1,AS204915 Hostinger International Limited,AS204915,Hostinger International Limited
6837,145.14.145.59,1,AS204915 Hostinger International Limited,AS204915,Hostinger International Limited
6838,145.14.151.221,1,AS47583 Hostinger International Limited,AS47583,Hostinger International Limited
6839,145.14.156.233,1,AS47583 Hostinger International Limited,AS47583,Hostinger International Limited
6840,145.14.156.251,1,AS47583 Hostinger International Limited,AS47583,Hostinger International Limited
6841,145.239.109.40,1,AS16276 OVH SAS,AS16276,OVH SAS
6842,145.239.122.134,1,AS16276 OVH SAS,AS16276,OVH SAS
6843,145.239.233.80,1,AS16276 OVH SAS,AS16276,OVH SAS
6844,145.239.233.81,1,AS16276 OVH SAS,AS16276,OVH SAS
6845,145.239.233.82,1,AS16276 OVH SAS,AS16276,OVH SAS
6846,145.239.233.83,1,AS16276 OVH SAS,AS16276,OVH SAS
6847,145.239.83.23,1,AS16276 OVH SAS,AS16276,OVH SAS
6848,145.84.24.144,1,AS213065 Uitvoeringsinstituut werknemersverzekeringen,AS213065,Uitvoeringsinstituut werknemersverzekeringen
6849,146.103.45.1,6,AS212238 Datacamp Limited,AS212238,Datacamp Limited
6850,146.148.132.240,1,AS26658 HT,AS26658,HT
6851,146.148.214.196,1,AS26658 HT,AS26658,HT
6852,146.148.249.74,1,AS26658 HT,AS26658,HT
6853,146.148.34.125,4,AS396982 Google LLC,AS396982,Google LLC
6854,146.190.34.42,1,"AS14061 DigitalOcean, LLC",AS14061,"DigitalOcean, LLC"
6855,146.56.42.246,1,AS31898 Oracle Corporation,AS31898,Oracle Corporation
6856,146.59.106.192,2,AS16276 OVH SAS,AS16276,OVH SAS
6857,146.59.178.81,1,AS16276 OVH SAS,AS16276,OVH SAS
6858,146.59.181.62,1,AS16276 OVH SAS,AS16276,OVH SAS
